Animal ID,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Breed_Intake,Color_Intake,Sex upon Outcome,binary_outcome,Age Outcome,Age Intake
A808644,5810 Burleson Rd in Austin (TX),Stray,Normal,Dog,Intact Female,Catahoula,Brown/White,Spayed Female,positive,744,730
A690567,9702 Swansons Ranch Rd in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Orange Tabby/White,Intact Female,positive,22,22
A755042,11908 Anderson Mil in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black,Intact Female,positive,125,122
A730332,7709 Manchaca Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,Labrador Retriever Mix,White,Neutered Male,positive,1495,1408
A783157,Austin (TX),Owner Surrender,Nursing,Dog,Intact Male,Miniature Schnauzer/Yorkshire Terrier,Tan,Neutered Male,positive,72,0
A670631,N Lamar And Hwy 183 in Austin (TX),Stray,Normal,Dog,Intact Female,Chinese Sharpei,Tan,Intact Female,negative,372,365
A702183,5006 Acorn Grove Ct in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown,Spayed Female,positive,746,730
A775479,Austin (TX),Public Assist,Normal,Dog,Spayed Female,Dachshund Mix,Black/White,Spayed Female,positive,1096,1094
A782719,Palmer Lane And Dessau Road in Austin (TX),Stray,Normal,Dog,Spayed Female,Labrador Retriever Mix,Black,Spayed Female,positive,2927,2837
A753083,12418 Fitzhugh in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,Intact Male,positive,55,45
A718738,Quarter Horse And Tanglebriar Trail in Austin (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever Mix,Yellow,Intact Female,negative,4394,4383
A673623,Austin (TX),Public Assist,Normal,Dog,Spayed Female,Chihuahua Shorthair Mix,White/Brown,Spayed Female,positive,1106,1097
A723174,2509 Ashdale Dr in Austin (TX),Wildlife,Sick,Other,Unknown,Raccoon,Brown,Unknown,negative,184,182
A798867,13001 Center Lake Drive in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair,Orange Tabby,Neutered Male,positive,96,91
A552342,5005 Bundyhill in Austin (TX),Stray,Normal,Dog,Spayed Female,Cocker Spaniel,Black,Spayed Female,positive,1726,1723
